,name,company,year,Price,kms_driven,fuel_type,image,Seating,logo
0,A3 Cabriolet,Audi,2015,3100000,12516,Petrol,Audi.png,5,Audi_logo.png
1,A4 1.8,Audi,2009,699000,47000,Petrol,Audi.png,5,Audi_logo.png
2,A4 2.0,Audi,2012,1350000,40000,Diesel,Audi.png,5,Audi_logo.png
3,A4 2.0,Audi,2016,1900000,44000,Diesel,Audi.png,5,Audi_logo.png
4,A4 2.0,Audi,2013,1510000,27000,Diesel,Audi.png,5,Audi_logo.png
5,A6 2.0,Audi,2012,1599000,11500,Diesel,Audi.png,5,Audi_logo.png
6,A8,Audi,2017,1000000,4000,Petrol,Audi.png,5,Audi_logo.png
7,Q3 2.0,Audi,2013,1499000,37000,Diesel,Audi.png,7,Audi_logo.png
8,Q5 2.0,Audi,2014,2390000,34000,Diesel,Audi.png,5,Audi_logo.png
9,Q7,Audi,2014,500000,16934,Diesel,Audi.png,7,Audi_logo.png
10,3 Series,BMW,2011,600000,60500,Petrol,BMW.png,5,BMW_logo.png
11,3 Series,BMW,2011,1075000,35000,Diesel,BMW.png,5,BMW_logo.png
12,5 Series,BMW,2011,1299000,49000,Diesel,BMW.png,5,BMW_logo.png
13,5 Series,BMW,2009,650000,37518,Petrol,BMW.png,5,BMW_logo.png
14,7 Series,BMW,2009,1600000,35000,Petrol,BMW.png,5,BMW_logo.png
15,X1,BMW,2011,1000000,34000,Diesel,BMW.png,5,BMW_logo.png
16,X1 sDrive20d,BMW,2012,1025000,41000,Diesel,BMW.png,5,BMW_logo.png
17,X1 xDrive20d,BMW,2011,1150000,72000,Diesel,BMW.png,5,BMW_logo.png
18,Beat,Chevrolet,2015,150000,30000,Petrol,Chevrolet.png,5,Chevrolet_logo.png
19,Beat Diesel,Chevrolet,2017,150000,62000,Diesel,Chevrolet.png,5,Chevrolet_logo.png
20,Beat Diesel,Chevrolet,2011,125000,56000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
21,Beat Diesel,Chevrolet,2016,179999,19336,Diesel,Chevrolet.png,7,Chevrolet_logo.png
22,Beat LS,Chevrolet,2011,145000,45000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
23,Beat LS,Chevrolet,2010,120000,43000,Petrol,Chevrolet.png,7,Chevrolet_logo.png
24,Beat LS,Chevrolet,2010,80000,56000,Petrol,Chevrolet.png,7,Chevrolet_logo.png
25,Beat LS,Chevrolet,2015,220000,32700,Petrol,Chevrolet.png,7,Chevrolet_logo.png
26,Beat LS,Chevrolet,2016,210000,22000,Diesel,Chevrolet.png,5,Chevrolet_logo.png
27,Beat LS,Chevrolet,2016,225000,95000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
28,Beat LS,Chevrolet,2014,189000,31000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
29,Beat LT,Chevrolet,2012,135000,45000,Diesel,Chevrolet.png,5,Chevrolet_logo.png
30,Beat LT,Chevrolet,2011,150000,40000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
31,Beat LT,Chevrolet,2012,98500,38000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
32,Beat LT,Chevrolet,2012,130000,90001,Diesel,Chevrolet.png,7,Chevrolet_logo.png
33,Beat LT,Chevrolet,2012,135000,36000,Petrol,Chevrolet.png,7,Chevrolet_logo.png
34,Beat LT,Chevrolet,2015,215000,90000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
35,Beat PS,Chevrolet,2012,215000,65422,Diesel,Chevrolet.png,5,Chevrolet_logo.png
36,Cruze LTZ,Chevrolet,2014,400000,41000,Diesel,Chevrolet.png,5,Chevrolet_logo.png
37,Cruze LTZ,Chevrolet,2011,350000,35000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
38,Enjoy,Chevrolet,2014,490000,30201,Diesel,Chevrolet.png,7,Chevrolet_logo.png
39,Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
40,Sail 1.2,Chevrolet,2013,300000,28000,Petrol,Chevrolet.png,7,Chevrolet_logo.png
41,Sail UVA,Chevrolet,2013,210000,60000,Petrol,Chevrolet.png,7,Chevrolet_logo.png
42,Spark,Chevrolet,2012,158400,33600,Petrol,Chevrolet.png,4,Chevrolet_logo.png
43,Spark 1.0,Chevrolet,2011,100000,27000,Petrol,Chevrolet.png,4,Chevrolet_logo.png
44,Spark LS,Chevrolet,2010,110000,41000,Petrol,Chevrolet.png,4,Chevrolet_logo.png
45,Spark LS,Chevrolet,2010,95000,23000,Petrol,Chevrolet.png,4,Chevrolet_logo.png
46,Spark LT,Chevrolet,2010,85000,45000,Petrol,Chevrolet.png,4,Chevrolet_logo.png
47,Spark LT,Chevrolet,2009,110000,44000,Petrol,Chevrolet.png,4,Chevrolet_logo.png
48,Tavera LS,Chevrolet,2005,130000,68485,Diesel,Chevrolet.png,7,Chevrolet_logo.png
49,Tavera Neo,Chevrolet,2013,375000,55000,Diesel,Chevrolet.png,7,Chevrolet_logo.png
50,Tavera Neo,Chevrolet,2007,465000,100800,Diesel,Chevrolet.png,7,Chevrolet_logo.png
51,Go Plus,Datsun,2016,285000,13900,Petrol,Datsun.png,7,Datsun_logo.png
52,GO T,Datsun,2016,245000,7000,Petrol,Datsun.png,7,Datsun_logo.png
53,Redi GO,Datsun,2017,235000,16000,Petrol,Datsun.png,4,Datsun_logo.png
54,Redi GO,Datsun,2016,245000,7000,Petrol,Datsun.png,4,Datsun_logo.png
55,Redi GO,Datsun,2017,244999,22000,Petrol,Datsun.png,4,Datsun_logo.png
56,Redi GO,Datsun,2018,299999,7000,Petrol,Datsun.png,4,Datsun_logo.png
57,Linea Emotion,Fiat,2009,120000,64000,Petrol,Fiat.png,5,Fiat_logo.png
58,Petra ELX,Fiat,2008,75000,65000,Petrol,Fiat.png,5,Fiat_logo.png
59,Punto Emotion,Fiat,2012,169500,37200,Diesel,Fiat.png,5,Fiat_logo.png
60,Motors ,Force,2015,580000,3200,Diesel,Force.png,4,Force_logo.png
61,Motors One,Force,2013,550000,140000,Diesel,Force.png,4,Force_logo.png
62,EcoSport,Ford,2017,489999,39000,Petrol,Ford.png,5,Ford_logo.png
63,EcoSport Ambiente,Ford,2016,830000,24530,Diesel,Ford.png,5,Ford_logo.png
64,EcoSport Titanium,Ford,2014,575000,36000,Diesel,Ford.png,5,Ford_logo.png
65,EcoSport Titanium,Ford,2014,550000,44000,Diesel,Ford.png,5,Ford_logo.png
66,EcoSport Titanium,Ford,2016,599000,30000,Diesel,Ford.png,5,Ford_logo.png
